id,ref_simple,Désignation,nom_marque,Catégories,cat1,cat2,cat3,Prix public 1,Stock final des 12 mois,Date de création,Date de mise à jour,image-1
1,D200BLANC,ASPIRATEUR SEBO,SEBO,Maison - Entretien,Aspirateur,Aspirateur avec sac,,468,1,10/11/2022,01/12/2023,http://nas.latelier22.fr/pascal-chantrel/images/1/D200BLANC-1.jpg
2,K222,ASPIRATEUR SEBO PUR,SEBO,Maison - Entretien,Aspirateur,Aspirateur avec sac,,290,2,17/10/2018,01/12/2023,http://nas.latelier22.fr/pascal-chantrel/images/2/K222-1.jpg
3,APC613CTC,Cuisinière Induction 3 Feux,AMICA,Gros électroménager,Cuisson,Plaque de cuisson,Induction,799,1,13/06/2022,01/12/2023,http://nas.latelier22.fr/pascal-chantrel/images/3/APC613CTC-1.jpg
4,HXR39IG20,3gaz+1elec.60cm.mf.66l.ecoclean.clA.ix.,BOSCH,Gros électroménager,Cuisson,Plaque de cuisson,Mixte gaz électrique,"729,99",1,26/09/2019,08/03/2024,http://nas.latelier22.fr/pascal-chantrel/images/4/HXR39IG20-1.jpg
5,PACK230A,DECODEUR TNT SAT  ALDEN,ALDEN,Tv - Image - Son,Décodeur,,,"396,8",1,23/06/2023,01/12/2023,http://nas.latelier22.fr/pascal-chantrel/images/5/PACK230A-1.jpg
6,HII63200MTB,TABLE DE CUISSON INDUCTION 3 FEUX,BEKO,Gros électroménager,Cuisson,Plaque de cuisson,Induction,"499,99",1,13/09/2021,20/02/2024,http://nas.latelier22.fr/pascal-chantrel/images/6/HII63200MTB-1.jpg
7,PVS611BB6E,TABLE A INDUCTION BOSCH,BOSCH,Gros électroménager,Cuisson,Plaque de cuisson,Induction,729,1,06/09/2023,01/12/2023,http://nas.latelier22.fr/pascal-chantrel/images/7/PVS611BB6E-1.jpg
8,SMI2ITS33E,LAVE VAISSELLE ENCASTRABLE,BOSCH,Gros électroménager,Lave-vaisselle,Lave-vaisselle encastrable,,"709,99",1,26/08/2022,08/03/2024,http://nas.latelier22.fr/pascal-chantrel/images/8/SMI2ITS33E-1.jpg
9,PVJ631BB1E,"ser4.3ind.60cm.7,4kw.3boost/min.dvt bis.",BOSCH,Gros électroménager,Cuisson,Plaque de cuisson,Induction,"629,99",1,31/08/2021,01/12/2023,http://nas.latelier22.fr/pascal-chantrel/images/9/PVJ631BB1E-1.jpg
10,DHE1146A,Hotte Escamotable 66DB 780M3/H,De Dietrich,Gros électroménager,Hotte,Hotte escamotable,,"479,9",1,02/06/2022,07/12/2023,http://nas.latelier22.fr/pascal-chantrel/images/10/DHE1146A-1.jpg
